Event,Site,Date,Round,White,Black,Result,FinalFEN
FICS rated standard game,FICS freechess.org,2023.01.31,?,Demicka,konozrout,0-1,r1bq1rk1/ppp3bp/3p2p1/3Pp3/2P1P3/2NQB3/PP2N1PP/2K2R2 b - - 0 17
FICS rated standard game,FICS freechess.org,2023.01.31,?,exeComp,Notarious,1/2-1/2,8/8/8/8/3K2kB/2n5/8/8 b - - 0 81
FICS rated standard game,FICS freechess.org,2023.01.31,?,GreenArtifex,pikozrout,0-1,5k1r/1p3p2/p3b2p/4P3/2N4p/PK6/P5rP/3R3R b - - 3 24
FICS rated standard game,FICS freechess.org,2023.01.31,?,Speyside,Qiyas,1-0,r4rk1/2p1bppp/1q1P4/pp6/5B2/1PP2Q1P/1P3PP1/3RR1K1 b - - 0 19
FICS rated standard game,FICS freechess.org,2023.01.31,?,kamenozrout,Najma,1-0,8/5ppk/b3p2p/4n3/1P3P2/P1R3P1/2RK3P/5q2 b - - 2 38
FICS rated standard game,FICS freechess.org,2023.01.31,?,scalaQueen,Indrayoga,1-0,8/5k1P/1K2b1p1/3q4/1P6/P7/8/8 b - - 0 44
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,2kr4/6bp/1pp1bp2/8/p1P1p2P/1q6/5PP1/4R1K1 w - - 0 33
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,r2q1rk1/ppp1b1pp/5p2/4p3/3nN2P/P5Q1/1P2PPP1/1K1b1BNR w - - 0 15
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,3rk2r/2p1bp1p/p5p1/n3Pp2/p2P1B2/2P3R1/1K2NP2/6R1 w k - 0 25
FICS rated standard game,FICS freechess.org,2023.01.31,?,Indrayoga,scalaQueen,1-0,rk5r/p1Q1R1pp/3p1p2/6B1/8/2P4P/1PP2PP1/3K4 b - - 0 21
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,rn3rk1/pp1b1ppp/2p5/3P3Q/3P3N/8/5PPP/1qB2RK1 w - - 0 18
FICS rated standard game,FICS freechess.org,2023.01.31,?,IFDThor,Aromas,1-0,4Q1kr/ppb3pp/2p5/2P3q1/8/8/PP3PPP/R5K1 b - - 0 21
